frame.number,frame.time_relative,frame.time_epoch,frame.len,frame.protocols,eth.type,ip.src,ip.dst,ip.ttl,ip.flags.df,tcp.stream,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,http.request.method,http.request.uri,http.response.code,http.request_in,http.response_in,tls.handshake.type,tls.handshake.extensions.supported_version,tls.handshake.ciphersuite
1,0.000000000,1789973464.809597400,66,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,0,65250,443,0x0002,0,0,0,,,,,,,,,,
2,0.151464300,1789973464.961061700,66,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,0,443,65250,0x0012,0,1,0,,,,,,,,,,
3,0.151523200,1789973464.961120600,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,0,65250,443,0x0010,1,1,0,,,,,,,,,,
4,0.152224600,1789973464.961822000,1581,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,0,65250,443,0x0018,1,1,1527,,,,,,,,1,0x0304,0x1302
5,0.310811800,1789973465.120409200,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,0,443,65250,0x0010,1,1528,0,,,,,,,,,,
6,0.311611600,1789973465.121209000,1514,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,0,443,65250,0x0010,1,1528,1460,,,,,,,,2,0x0304,0x1302
7,0.311613000,1789973465.121210400,1514,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,0,443,65250,0x0018,1461,1528,1460,,,,,,,,,,
8,0.311671400,1789973465.121268800,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,0,65250,443,0x0010,1528,2921,0,,,,,,,,,,
9,0.311906200,1789973465.121503600,1230,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,0,443,65250,0x0018,2921,1528,1176,,,,,,,,,,
10,0.311909100,1789973465.121506500,835,eth:ethertype:ip:tcp:tls:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509ce:tls:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:tls,0x0800,46.225.13.27,192.168.1.152,50,True,0,443,65250,0x0018,4097,1528,781,,,,,,,,11,,
11,0.311913500,1789973465.121510900,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,0,65250,443,0x0010,1528,4878,0,,,,,,,,,,
12,0.315636000,1789973465.125233400,134,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,0,65250,443,0x0018,1528,4878,80,,,,,,,,20,,
13,0.315714000,1789973465.125311400,424,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,0,65250,443,0x0018,1608,4878,370,,,,,,,,,,
14,0.315733900,1789973465.125331300,264,eth:ethertype:ip:tcp:tls:http:json,0x0800,192.168.1.152,46.225.13.27,128,True,0,65250,443,0x0018,1978,4878,210,,,POST,/mcp,,,18,,,
15,0.471287500,1789973465.280884900,357,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,0,443,65250,0x0018,4878,2188,303,,,,,,,,4,,
16,0.471617200,1789973465.281214600,357,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,0,443,65250,0x0018,5181,2188,303,,,,,,,,4,,
17,0.471635600,1789973465.281233000,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,0,65250,443,0x0010,2188,5484,0,,,,,,,,,,
18,0.476295200,1789973465.285892600,525,eth:ethertype:ip:tcp:tls:http:json,0x0800,46.225.13.27,192.168.1.152,50,True,0,443,65250,0x0018,5484,2188,471,,,,/mcp,200,14,,,,
19,0.476636800,1789973465.286234200,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,0,65250,443,0x0011,2188,5955,0,,,,,,,,,,
